Customer,State,Gender,Customer Lifetime Value,Income,Monthly Premium Auto,Policy Type,Vehicle Class,Total Claim Amount
XM45289,Oregon,,,23218.0,71.0,Personal Auto,Two-Door Car,447.79344000000003
KP34198,California,,,0.0,92.0,Corporate Auto,Four-Door Car,529.624084
SH90947,Arizona,,,0.0,62.0,Personal Auto,Four-Door Car,313.023175
WE95729,Oregon,,,24804.0,104.0,Personal Auto,SUV,593.830288
PY51963,California,,,33190.0,106.0,Corporate Auto,SUV,508.8
RB69909,Nevada,,,36014.0,69.0,Special Auto,Four-Door Car,173.956072
NW21079,Washington,F,,67163.0,61.0,Personal Auto,Two-Door Car,33.192803000000005
FR46645,California,,,16701.0,113.0,Personal Auto,Four-Door Car,831.625979
SY17488,Arizona,,,46623.0,91.0,Corporate Auto,Four-Door Car,436.8
AP67935,California,,,64749.0,64.0,Special Auto,Four-Door Car,302.56519
FS37417,Arizona,,,0.0,101.0,Personal Auto,SUV,484.8
ML29312,Oregon,,,16969.0,124.0,Personal Auto,SUV,704.7681110000001
UB61619,Oregon,,,11621.0,108.0,Personal Auto,Four-Door Car,518.4
CD86811,Arizona,,,17622.0,65.0,Personal Auto,Four-Door Car,312.0
RU83859,California,,,11489.0,105.0,Personal Auto,Two-Door Car,504.0
FG63582,Oregon,,,0.0,94.0,Personal Auto,Two-Door Car,863.327324
NN71951,California,,,66525.0,100.0,Personal Auto,SUV,104.331355
WB37082,Arizona,,,0.0,63.0,Personal Auto,Four-Door Car,676.391482
SM52139,WA,,,33663.0,73.0,Personal Auto,Four-Door Car,350.4
FL82372,Oregon,,,22547.0,112.0,Corporate Auto,SUV,537.6
DP45816,AZ,,,61486.0,97.0,Personal Auto,Two-Door Car,465.25864400000006
GW33762,Oregon,,,0.0,95.0,Personal Auto,Two-Door Car,456.0
RZ33670,California,,,29879.0,102.0,Personal Auto,Four-Door Car,500.25423499999994
PY70169,Oregon,,,93011.0,113.0,Personal Auto,SUV,281.451042
MO91628,Oregon,,,65186.0,65.0,Personal Auto,Two-Door Car,5.434505000000001
HW87852,Oregon,,,26840.0,64.0,Personal Auto,Four-Door Car,307.2
HB20453,Oregon,,,0.0,104.0,Personal Auto,Sports Car,982.399613
BN87372,Oregon,,,75644.0,65.0,Personal Auto,Two-Door Car,467.803638
YX23800,Oregon,,,38984.0,73.0,Personal Auto,Four-Door Car,350.4
DZ87709,Oregon,,,71811.0,71.0,Personal Auto,Four-Door Car,29.034159999999996
XW13033,Nevada,,,20961.0,67.0,Personal Auto,Four-Door Car,321.6
SP81997,Washington,F,,41275.0,96.0,Personal Auto,Four-Door Car,41.122303
OM82309,California,,,61321.0,186.0,Personal Auto,Luxury Car,427.63120999999995
ZU35962,California,,,0.0,77.0,Personal Auto,Two-Door Car,25.807685
VH85817,California,,,51066.0,74.0,Personal Auto,Four-Door Car,787.993313
DT85712,California,,,34378.0,102.0,Personal Auto,SUV,489.6
YJ88573,Nevada,,,43072.0,63.0,Personal Auto,Four-Door Car,302.4
SQ19467,Oregon,,,25222.0,90.0,Personal Auto,Four-Door Car,475.623251
YB66933,Washington,F,,77552.0,68.0,Corporate Auto,Four-Door Car,45.215059000000004
ET79815,California,,,23091.0,96.0,Personal Auto,Four-Door Car,460.8
QC35222,California,,,48269.0,69.0,Corporate Auto,Four-Door Car,282.151207
CJ15590,Oregon,,,32720.0,67.0,Personal Auto,Four-Door Car,321.6
OI48267,California,,,20396.0,76.0,Personal Auto,Four-Door Car,364.8
JY67916,Oregon,,,21513.0,119.0,Personal Auto,Two-Door Car,679.827592
OW15518,Washington,F,,0.0,87.0,Personal Auto,Two-Door Car,46.041452
CZ33664,Oregon,,,80744.0,63.0,Corporate Auto,Four-Door Car,11.879037
WK30175,Oregon,,,52822.0,67.0,Corporate Auto,Two-Door Car,350.529033
ON44465,California,,,0.0,77.0,Personal Auto,Four-Door Car,863.3947
TV87155,Oregon,,,69738.0,74.0,Personal Auto,Four-Door Car,492.12753200000003
KH48895,AZ,,,17780.0,109.0,Personal Auto,SUV,132.58828799999998
NZ30757,California,,,18107.0,62.0,Personal Auto,Four-Door Car,297.6
RI22468,AZ,,,57740.0,74.0,Personal Auto,Four-Door Car,269.905129
FZ30935,Oregon,,,32627.0,76.0,Personal Auto,Two-Door Car,380.036697
UG93476,California,,,0.0,107.0,Personal Auto,SUV,513.6
AB96670,California,,,0.0,70.0,Personal Auto,Four-Door Car,425.266308
XK64261,Oregon,,,65795.0,62.0,Corporate Auto,Two-Door Car,49.011099
EV68375,California,,,60475.0,107.0,Personal Auto,Four-Door Car,513.6
UN51653,California,,,0.0,130.0,Personal Auto,SUV,936.0
TO96662,Oregon,,,41837.0,88.0,Personal Auto,Four-Door Car,142.062768
MR52087,California,,,32303.0,65.0,Personal Auto,Four-Door Car,45.152521
DE75225,Oregon,,,0.0,117.0,Personal Auto,SUV,561.6
EP80820,California,,,40531.0,74.0,Personal Auto,Two-Door Car,30.567357
GU99037,Oregon,,,79898.0,62.0,Corporate Auto,Four-Door Car,271.606799
WI57118,California,,,56398.0,85.0,Personal Auto,Four-Door Car,408.0
GP39118,Washington,M,,71600.0,63.0,Personal Auto,Two-Door Car,46.158117
MQ14219,AZ,,,27804.0,109.0,Personal Auto,SUV,784.8
KN20603,Oregon,,,45506.0,66.0,Personal Auto,Four-Door Car,316.8
SG20925,Washington,F,,99428.0,6464.0,Personal Auto,Four-Door Car,48.046869
JI70886,California,,,0.0,102.0,Corporate Auto,SUV,489.6
VF72557,Oregon,,,20993.0,133.0,Personal Auto,SUV,638.4
OX28638,AZ,,,37839.0,86.0,Personal Auto,Two-Door Car,465.633954
SK55033,California,,,92711.0,62.0,Personal Auto,Two-Door Car,368.400146
OO88645,California,,,74665.0,78.0,Corporate Auto,Four-Door Car,236.90200099999998
FM14335,Washington,F,,61108.0,89.0,Personal Auto,Four-Door Car,49.451116999999996
CW82151,California,,,46833.0,112.0,Personal Auto,Sports Car,64.109663
DY22043,Oregon,,,88768.0,68.0,Personal Auto,Two-Door Car,326.4
SH36774,California,,,28262.0,192.0,Personal Auto,Luxury SUV,921.6
EM43724,Nevada,,,33555.0,63.0,Personal Auto,Four-Door Car,101.89645
FH85960,Oregon,,,42780.0,113.0,Personal Auto,Four-Door Car,542.4
XA55993,Oregon,,,58850.0,78.0,Personal Auto,Four-Door Car,143.747794
GO36627,AZ,,,21880.0,97.0,Special Auto,Four-Door Car,424.077159
QH48047,Oregon,,,25251.0,66.0,Personal Auto,Four-Door Car,316.8
HS28694,Washington,F,,25317.0,71.0,Personal Auto,Two-Door Car,50.422181
UH65059,AZ,,,24188.0,109.0,Personal Auto,Sports Car,523.2
FV21968,Nevada,,,41611.0,74.0,Special Auto,Four-Door Car,113.801497
QA87025,Oregon,,,28406.0,72.0,Personal Auto,Four-Door Car,192.87572
TQ13499,AZ,,,69833.0,118.0,Personal Auto,Four-Door Car,828.662719
BU44523,AZ,,,0.0,74.0,Corporate Auto,Four-Door Car,532.8
MS41162,AZ,,,0.0,117.0,Personal Auto,SUV,975.1070980000001
PU25891,Oregon,,,80536.0,119.0,Special Auto,Sports Car,53.798708
LH92841,Washington,F,,88891.0,89.0,Personal Auto,Four-Door Car,50.528355
SX26335,Oregon,,,97732.0,79.0,Personal Auto,Four-Door Car,289.9122
AZ95587,AZ,F,,61222.0,89.0,Special Auto,Four-Door Car,392.604371
DS81757,Oregon,M,,0.0,74.0,Personal Auto,Two-Door Car,721.242206
OJ94107,AZ,M,,50335.0,140.0,Personal Auto,SUV,456.52385
LP84436,California,F,,0.0,127.0,Personal Auto,Sports Car,1087.995426
FF22360,Washington,F,,82210.0,68.0,Personal Auto,Four-Door Car,51.961915000000005
LM19287,Oregon,F,,0.0,96.0,Personal Auto,Four-Door Car,460.8
ZU18643,Nevada,M,,64495.0,92.0,Corporate Auto,Four-Door Car,251.992083
AZ82578,California,F,,0.0,72.0,Corporate Auto,Four-Door Car,345.6
XC67861,Arizona,F,,28859.0,67.0,Corporate Auto,Two-Door Car,321.6
YC43143,Arizona,F,,77330.0,99.0,Personal Auto,Four-Door Car,99.25760799999999
EK59571,Oregon,M,,0.0,105.0,Corporate Auto,Four-Door Car,504.0
PA38372,Washington,F,,33060.0,117.0,Personal Auto,Four-Door Car,56.731578000000006
RO18530,Washington,M,,42557.0,65.0,Personal Auto,Four-Door Car,57.562324
PD27940,Arizona,M,,26372.0,126.0,Personal Auto,SUV,604.8
BS77946,Arizona,F,,17514.0,127.0,Personal Auto,SUV,8.312729
YM50253,California,Femal,,89270.0,74.0,Personal Auto,Four-Door Car,316.599228
NR15332,California,M,,29757.0,65.0,Personal Auto,Four-Door Car,312.0
RC62865,Oregon,M,,51814.0,92.0,Personal Auto,Four-Door Car,56.300724
CC15295,Oregon,F,,24028.0,82.0,Personal Auto,Four-Door Car,393.6
KA61892,Arizona,M,,28142.0,105.0,Personal Auto,Sports Car,701.7082389999999
OS94884,Arizona,F,,52705.0,64.0,Personal Auto,Two-Door Car,128.70556299999998
ND87334,California,M,,0.0,63.0,Corporate Auto,Two-Door Car,679.368378
OY51402,Washington,F,,54040.0,103.0,Personal Auto,SUV,59.987126
YL74911,California,F,,0.0,118.0,Personal Auto,SUV,566.4
GK92563,Washington,F,,22492.0,85.0,Personal Auto,Two-Door Car,61.654262
HL53154,California,M,,0.0,77.0,Personal Auto,Four-Door Car,554.4
RI78966,Oregon,M,,21876.0,68.0,Personal Auto,Four-Door Car,465.41477000000003
IC13702,California,F,,0.0,69.0,Personal Auto,Four-Door Car,496.8
BE10809,California,F,,0.0,61.0,Personal Auto,Four-Door Car,292.8
HT87217,Oregon,F,,70699.0,82.0,Personal Auto,Four-Door Car,256.81383700000004
TH95618,California,F,,0.0,74.0,Personal Auto,Four-Door Car,355.2
TS19868,California,M,,27501.0,63.0,Personal Auto,Four-Door Car,542.319401
LP45550,Oregon,F,,15897.0,101.0,Personal Auto,Four-Door Car,303.14839900000004
QR87004,Nevada,F,,25141.0,73.0,Personal Auto,Four-Door Car,25.438063
OE75747,Nevada,F,,0.0,61.0,Personal Auto,Four-Door Car,292.8
DX91392,California,M,,51066.0,74.0,Personal Auto,Four-Door Car,787.993313
AB72731,California,F,,28358.0,117.0,Personal Auto,Sports Car,84.024413
GX84338,Washington,F,,62530.0,95.0,Personal Auto,Four-Door Car,61.693771
IS12901,Arizona,F,,90972.0,74.0,Personal Auto,Two-Door Car,232.92614500000002
BN90616,Washington,F,,63110.0,72.0,Personal Auto,Four-Door Car,68.179721
HH90090,California,F,,29549.0,104.0,Personal Auto,Sports Car,710.433775
IU25463,California,F,,0.0,115.0,Personal Auto,Four-Door Car,552.0
KC11055,Nevada,F,,39411.0,217.0,Personal Auto,Luxury Car,1122.658899
PD33979,Oregon,M,,21709.0,62.0,Personal Auto,Four-Door Car,408.374746
NK71023,Nevada,M,,67890.0,85.0,Personal Auto,Four-Door Car,408.0
AB13432,California,M,,0.0,110.0,Personal Auto,SUV,792.0
OZ97704,California,F,,84311.0,111.0,Personal Auto,SUV,532.8
UF46533,California,F,,99316.0,114.0,Corporate Auto,SUV,754.358929
XP47431,Arizona,F,,54507.0,138.0,Personal Auto,SUV,702.990032
GK73582,California,F,,64586.0,76.0,Personal Auto,Four-Door Car,206.83711100000002
RV98763,Oregon,M,,61709.0,82.0,Personal Auto,Four-Door Car,275.395894
II62831,California,M,,94656.0,111.0,Special Auto,SUV,459.738128
XK33449,California,F,,0.0,69.0,Special Auto,Two-Door Car,496.8
TR85083,California,M,,61085.0,70.0,Personal Auto,Two-Door Car,336.0
EO95328,Oregon,F,,89284.0,67.0,Personal Auto,Two-Door Car,321.6
EN21086,Arizona,F,,0.0,63.0,Personal Auto,Four-Door Car,302.4
YL83902,WA,F,,31686.0,81.0,Personal Auto,Four-Door Car,430.99410700000004
AZ62651,Oregon,M,,56855.0,255.0,Corporate Auto,Luxury SUV,1836.0
ZW25874,Oregon,M,,53703.0,67.0,Special Auto,Four-Door Car,67.632476
EH41854,WA,F,,0.0,96.0,Personal Auto,Two-Door Car,844.481918
MW70227,California,M,,20396.0,76.0,Personal Auto,Four-Door Car,364.8
SL22297,California,F,,27679.0,150.0,Personal Auto,SUV,722.4869940000001
RV14138,Nevada,F,,23904.0,123.0,Personal Auto,SUV,590.4
UO62808,Arizona,F,,65351.0,69.0,Corporate Auto,Four-Door Car,481.027516
ZX64745,California,M,,0.0,113.0,Personal Auto,SUV,1124.4277339999999
FL34139,California,M,,0.0,63.0,Personal Auto,Four-Door Car,669.682001
TS11219,California,M,,0.0,116.0,Personal Auto,SUV,1284.093173
XX12304,California,F,,64459.0,72.0,Personal Auto,Four-Door Car,240.259479
SD64087,California,M,,32961.0,190.0,Corporate Auto,SUV,912.0
OY38576,Oregon,F,,71416.0,116.0,Corporate Auto,SUV,556.8
BG76355,WA,F,,68964.0,78.0,Personal Auto,Four-Door Car,115.086827
IP66913,Cali,M,,78108.0,98.0,Personal Auto,Two-Door Car,470.4
LE95702,Cali,M,,10621.0,67.0,Special Auto,Four-Door Car,321.6
KX54357,WA,M,,84910.0,95.0,Corporate Auto,Two-Door Car,383.167471
EZ78112,Cali,Femal,,77493.0,70.0,Special Auto,Four-Door Car,307.963291
XN16891,Arizona,M,,81097.0,74.0,Personal Auto,Four-Door Car,355.2
XK31350,Oregon,Femal,,96610.0,85.0,Corporate Auto,Four-Door Car,520.364752
CC30924,Oregon,M,,30110.0,159.0,Corporate Auto,Sports Car,466.436375
IT78748,Oregon,Femal,,22081.0,84.0,Special Auto,Two-Door Car,451.670309
KY33386,WA,Femal,,0.0,112.0,Personal Auto,Sports Car,537.6
CO44221,Cali,M,,98473.0,72.0,Personal Auto,Four-Door Car,345.6
LK60013,Oregon,Femal,,97431.0,74.0,Personal Auto,Four-Door Car,355.2
DE21533,Cali,M,,93870.0,69.0,Personal Auto,Four-Door Car,331.2
YS94121,Nevada,M,,50366.0,72.0,Personal Auto,Four-Door Car,428.734656
UK68427,WA,M,,34498.0,83.0,Personal Auto,Two-Door Car,398.4
TE49565,Oregon,Femal,,16552.0,103.0,Personal Auto,SUV,494.4
RA88421,Oregon,Femal,,26787.0,77.0,Personal Auto,Four-Door Car,369.6
KQ51983,Nevada,M,,0.0,74.0,Personal Auto,Two-Door Car,831.752839
CD88896,Nevada,Femal,,43860.0,65.0,Corporate Auto,Four-Door Car,156.124914
YV22553,Arizona,M,,21474.0,114.0,Corporate Auto,SUV,373.42818700000004
WU14435,Cali,M,,18174.0,66.0,Corporate Auto,Four-Door Car,395.934815
XV84099,Arizona,Femal,,0.0,73.0,Corporate Auto,Four-Door Car,350.4
RI24911,Arizona,Male,,60920.0,64.0,Personal Auto,Two-Door Car,231.20188599999997
KO26461,Arizona,Male,,41520.0,90.0,Personal Auto,Four-Door Car,289.90410499999996
HI14283,Oregon,Femal,,0.0,152.0,Personal Auto,SUV,729.6
PT50227,Arizona,Male,,0.0,68.0,Personal Auto,Two-Door Car,326.4
BH36570,Cali,Male,,72208.0,73.0,Personal Auto,Two-Door Car,350.4
TX17484,Cali,Femal,,53863.0,63.0,Personal Auto,Four-Door Car,105.765111
CT41158,WA,Male,,66446.0,136.0,Corporate Auto,SUV,639.464548
AO87348,WA,Male,,0.0,61.0,Personal Auto,Four-Door Car,292.8
DE55857,WA,Femal,,64997.0,63.0,Personal Auto,Four-Door Car,383.442328
LF66923,Nevada,Femal,,64460.0,66.0,Corporate Auto,Two-Door Car,316.8
CN24514,Arizona,Femal,,46618.0,67.0,Personal Auto,Four-Door Car,99.085943
UW32074,Oregon,Femal,,0.0,64.0,Corporate Auto,Four-Door Car,307.2
HP36979,Cali,Male,,49988.0,84.0,Personal Auto,Two-Door Car,566.935022
PP40919,Cali,Femal,,0.0,91.0,Personal Auto,Two-Door Car,436.8
RO73268,Cali,M,,16269.0,86.0,Corporate Auto,Two-Door Car,412.8
HO61691,Arizona,F,,72006.0,64.0,Personal Auto,Four-Door Car,307.2
BS13062,Arizona,F,,0.0,81.0,Personal Auto,Four-Door Car,388.8
FO35655,Oregon,M,,0.0,245.0,Corporate Auto,Luxury SUV,2345.413441
HR10526,Cali,M,,44320.0,67.0,Personal Auto,Four-Door Car,321.6
IA63417,Arizona,F,,19782.0,108.0,Personal Auto,Two-Door Car,773.470977
BH35016,Nevada,F,,63933.0,70.0,Personal Auto,Two-Door Car,424.88344800000004
PK52952,Arizona,M,,28224.0,109.0,Personal Auto,SUV,523.2
OD76309,WA,F,,21073.0,106.0,Personal Auto,SUV,508.8
IL28481,Oregon,M,,63243.0,77.0,Personal Auto,Four-Door Car,364.240307
GY55092,Nevada,M,,20993.0,133.0,Personal Auto,SUV,638.4
UF33451,Oregon,F,,94827.0,135.0,Personal Auto,SUV,354.729129
CF15558,Cali,F,,39161.0,63.0,Personal Auto,Two-Door Car,283.995953
JM62924,WA,M,,37534.0,84.0,Personal Auto,Four-Door Car,403.2
EM66435,Oregon,F,,80210.0,65.0,Corporate Auto,Four-Door Car,20.543176000000003
QX45933,Cali,M,,0.0,62.0,Personal Auto,Four-Door Car,385.115437
JI71369,Cali,F,,30110.0,64.0,Personal Auto,Four-Door Car,140.16503500000002
JU93290,Arizona,F,,21708.0,68.0,Personal Auto,Four-Door Car,326.4
GU66096,Arizona,M,,94731.0,67.0,Personal Auto,Four-Door Car,321.6
UC33108,Cali,M,,32375.0,83.0,Personal Auto,Four-Door Car,398.4
LW93867,Oregon,M,,16531.0,63.0,Corporate Auto,Four-Door Car,102.879769
OU78470,Arizona,F,,32006.0,94.0,Corporate Auto,Four-Door Car,56.868289000000004
XW90265,Arizona,F,,81676.0,72.0,Personal Auto,Two-Door Car,463.15850199999994
HS67749,Cali,M,,71038.0,86.0,Corporate Auto,Four-Door Car,205.444066
VZ51506,Arizona,F,,0.0,103.0,Corporate Auto,Sports Car,741.6
UI64281,Nevada,F,,20832.0,65.0,Personal Auto,Two-Door Car,56.371967000000005
AE98193,WA,M,,0.0,113.0,Personal Auto,SUV,813.6
AZ74055,Oregon,M,,52405.0,103.0,Personal Auto,Four-Door Car,494.4
XS76911,Arizona,F,,0.0,133.0,Personal Auto,Sports Car,795.864079
AY40674,WA,F,,26583.0,1005.0,Personal Auto,SUV,614.4
NA12740,Oregon,M,,25486.0,65.0,Special Auto,Two-Door Car,72.438681
UA84837,Arizona,M,,24065.0,111.0,Corporate Auto,Four-Door Car,532.8
DJ51510,Arizona,F,,70435.0,116.0,Personal Auto,Four-Door Car,67.881546
VM58985,Cali,M,,0.0,76.0,Personal Auto,Two-Door Car,402.636829
OH60605,Oregon,F,,39679.0,92.0,Personal Auto,Two-Door Car,641.3886160000001
UO98052,Nevada,M,,0.0,89.0,Personal Auto,Four-Door Car,342.481173
NC53424,Cali,M,,0.0,69.0,Personal Auto,Two-Door Car,331.2
LQ13873,Nevada,M,,53565.0,71.0,Personal Auto,Four-Door Car,340.8
LA97014,WA,M,,37574.0,66.0,Personal Auto,Two-Door Car,412.10193300000003
NB79936,WA,M,,48259.0,108.0,Personal Auto,Two-Door Car,73.70057299999999
NT89061,Arizona,F,,78532.0,78.0,Personal Auto,Four-Door Car,374.4
AF10970,Arizona,F,,96163.0,73.0,Corporate Auto,Four-Door Car,350.4
ZG48513,Cali,M,,0.0,72.0,Personal Auto,Four-Door Car,345.6
JQ59145,Cali,Male,,0.0,114.0,Personal Auto,Sports Car,722.024742
FE84989,WA,Male,,72672.0,63.0,Personal Auto,Four-Door Car,259.361117
JT52858,Oregon,F,,99002.0,112.0,Personal Auto,Four-Door Car,537.6
MC62068,California,Male,,79494.0,91.0,Personal Auto,Four-Door Car,396.295614
EU27538,Oregon,Male,,35704.0,225.0,Personal Auto,Luxury Car,358.281562
RH42306,Arizona,F,,0.0,71.0,Corporate Auto,Four-Door Car,653.388564
US23612,Oregon,F,,26049.0,118.0,Personal Auto,Two-Door Car,121.032372
WV76014,Arizona,Male,,70125.0,64.0,Special Auto,Four-Door Car,92.813396
RK96223,California,Male,,52369.0,110.0,Personal Auto,SUV,528.0
MF82000,WA,female,,0.0,66.0,Special Auto,Four-Door Car,159.636956
FM46980,Arizona,Male,,41770.0,72.0,Personal Auto,Four-Door Car,476.15695700000003
SY56792,Oregon,Male,,0.0,101.0,Corporate Auto,Four-Door Car,727.2
RF61565,California,M,,31911.0,67.0,Personal Auto,Four-Door Car,321.6
IM94808,Nevada,M,,70051.0,68.0,Corporate Auto,Four-Door Car,42.078345
VI14730,Oregon,M,,19683.0,117.0,Personal Auto,Sports Car,561.6
YR34119,WA,F,,30916.0,112.0,Personal Auto,SUV,200.11606
RR77985,Oregon,F,,0.0,80.0,Personal Auto,Four-Door Car,676.944023
QD28391,Washington,M,,84302.0,62.0,Personal Auto,Four-Door Car,76.60929499999999
WV17090,California,M,,0.0,116.0,Corporate Auto,SUV,830.623064
TM23514,Oregon,M,,60145.0,132.0,Personal Auto,SUV,580.473259
MQ68407,Oregon,F,,63774.0,111.0,Personal Auto,Four-Door Car,60.036683
GJ59592,California,F,,25134.0,67.0,Corporate Auto,Four-Door Car,321.6
FY56083,Oregon,M,,37057.0,61.0,Personal Auto,Four-Door Car,47.531009999999995
UA94723,Oregon,F,,58577.0,110.0,Personal Auto,SUV,303.872752
FW91032,California,M,,85857.0,73.0,Corporate Auto,Four-Door Car,100.620067
DE34457,Oregon,F,,70602.0,116.0,Personal Auto,SUV,481.339891
HD32044,Oregon,F,,33816.0,106.0,Corporate Auto,Four-Door Car,508.8
HH30454,Oregon,M,,0.0,153.0,Personal Auto,SUV,1101.6
AH84063,Oregon,F,,89642.0,121.0,Corporate Auto,SUV,86.320022
QA17596,California,F,,60068.0,98.0,Personal Auto,Two-Door Car,470.4
XI41052,California,F,,50044.0,139.0,Personal Auto,SUV,667.2
DI30528,California,F,,36650.0,69.0,Personal Auto,Four-Door Car,56.60333000000001
SC66359,Arizona,F,,50653.0,110.0,Corporate Auto,SUV,262.86517200000003
EN61670,Arizona,F,,68931.0,66.0,Personal Auto,Four-Door Car,309.577946
DQ10761,Oregon,M,,0.0,73.0,Corporate Auto,Four-Door Car,350.4
BQ51587,California,F,,0.0,73.0,Personal Auto,Four-Door Car,365.364581
JE21522,California,M,,39266.0,80.0,Personal Auto,Four-Door Car,384.0
WS47147,California,M,,0.0,102.0,Personal Auto,SUV,489.6
ZA64638,Nevada,F,,0.0,98.0,Personal Auto,Four-Door Car,705.6
EW38459,Nevada,F,,40864.0,65.0,Corporate Auto,Four-Door Car,9.51528
QW87316,Oregon,F,,39035.0,68.0,Personal Auto,Four-Door Car,244.56433399999997
IC43478,California,M,,34923.0,98.0,Personal Auto,Two-Door Car,639.105556
TE34064,California,M,,0.0,63.0,Personal Auto,Four-Door Car,453.6
WU60905,California,F,,0.0,111.0,Corporate Auto,SUV,532.8
YM18992,California,F,,24506.0,71.0,Personal Auto,Two-Door Car,511.2
PD55753,Oregon,M,,0.0,82.0,Personal Auto,Four-Door Car,554.522969
KU56006,Arizona,F,,52220.0,70.0,Personal Auto,Four-Door Car,336.0
MJ69973,Arizona,M,,0.0,74.0,Personal Auto,Two-Door Car,402.449823
TW43626,California,M,,53554.0,67.0,Personal Auto,Four-Door Car,327.020539
XX84133,California,M,,34476.0,67.0,Corporate Auto,Four-Door Car,5.3953
ZW84453,Arizona,F,,0.0,70.0,Personal Auto,Four-Door Car,131.401291
HO29524,California,M,,68205.0,76.0,Personal Auto,Two-Door Car,99.38294300000001
VE89726,California,female,,0.0,119.0,Personal Auto,SUV,856.8
GE87503,California,M,,53690.0,154.0,Personal Auto,SUV,739.2
PX90263,Oregon,M,,0.0,72.0,Personal Auto,Four-Door Car,518.4
NI17718,California,female,,0.0,61.0,Personal Auto,Four-Door Car,292.8
FY32213,California,female,,74454.0,71.0,Personal Auto,Four-Door Car,340.8
RZ13254,Nevada,female,,0.0,73.0,Personal Auto,Four-Door Car,350.4
